# REBOUND parity — Pythagorean three-body (Burrau 1913) — REBOUND IAS15 side
# protocol: docs/experiments/2026-04-30-rebound-parity-pythagorean.md
# integrator: IAS15 (REBOUND)
# rebound_version: 4.6.0
# units: canonical (G = 1)
# masses=(3.0,4.0,5.0), horizon=7.000378289359450434e+01
# samples_per_t_unit=30, dt0=1.853555655871134619e-02
sample,t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,e_total
0,0.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.281666666666666643e+01
1,6.236855756229835179e-02,9.998132538982024142e-01,2.999143170545004899e+00,-5.989557793460121779e-03,-2.747930595958855693e-02,-1.998779192592810006e+00,-9.998132538938369063e-01,3.915660676798884965e-02,5.989558213609354892e-03,9.991354017353265560e-01,-9.996352992119333924e-01,-2.773155073831500700e-02,1.169593700486564955e-02,-1.281666666666666643e+01
2,1.469400477539076766e-01,9.989625670068182917e-01,2.995241635023145665e+00,-1.413476827324710444e-02,-6.480510510605649865e-02,-1.993216984130489422e+00,-9.989625662557723995e-01,9.243442373100184406e-02,1.413479901520518604e-02,9.951960471003005182e-01,-9.979749280092694574e-01,-6.546667802085322230e-02,2.757522385146974828e-02,-1.281666666666666643e+01
3,1.469400477539076766e-01,9.989625670068182917e-01,2.995241635023145665e+00,-1.413476827324710444e-02,-6.480510510605649865e-02,-1.993216984130489422e+00,-9.989625662557723995e-01,9.243442373100184406e-02,1.413479901520518604e-02,9.951960471003005182e-01,-9.979749280092694574e-01,-6.546667802085322230e-02,2.757522385146974828e-02,-1.281666666666666643e+01
4,1.469400477539076766e-01,9.989625670068182917e-01,2.995241635023145665e+00,-1.413476827324710444e-02,-6.480510510605649865e-02,-1.993216984130489422e+00,-9.989625662557723995e-01,9.243442373100184406e-02,1.413479901520518604e-02,9.951960471003005182e-01,-9.979749280092694574e-01,-6.546667802085322230e-02,2.757522385146974828e-02,-1.281666666666666643e+01
5,1.945327766738818853e-01,9.981803156413961986e-01,2.991656272523610660e+00,-1.874146831987221276e-02,-8.587296652595358126e-02,-1.988100707755741992e+00,-9.981803115753833389e-01,1.225953934727661149e-01,1.874159426421579538e-02,9.915723768197558519e-01,-9.964495142538598582e-01,-8.683143378628957465e-02,3.653050450419951384e-02,-1.281666666666666643e+01
6,2.832779079249215237e-01,9.961336418494647349e-01,2.982286039707493952e+00,-2.740057782435745271e-02,-1.253457627421944165e-01,-1.974707453880886421e+00,-9.961336025169973407e-01,1.793766358407446471e-01,2.740141852029041522e-02,9.820857779950302735e-01,-9.924647418108986097e-01,-1.270609619779812516e-01,5.328632282908432605e-02,-1.281666666666666821e+01
7,2.832779079249215237e-01,9.961336418494647349e-01,2.982286039707493952e+00,-2.740057782435745271e-02,-1.253457627421944165e-01,-1.974707453880886421e+00,-9.961336025169973407e-01,1.793766358407446471e-01,2.740141852029041522e-02,9.820857779950302735e-01,-9.924647418108986097e-01,-1.270609619779812516e-01,5.328632282908432605e-02,-1.281666666666666821e+01
8,2.832779079249215237e-01,9.961336418494647349e-01,2.982286039707493952e+00,-2.740057782435745271e-02,-1.253457627421944165e-01,-1.974707453880886421e+00,-9.961336025169973407e-01,1.793766358407446471e-01,2.740141852029041522e-02,9.820857779950302735e-01,-9.924647418108986097e-01,-1.270609619779812516e-01,5.328632282908432605e-02,-1.281666666666666821e+01
9,3.653528050530889804e-01,9.935524396886092902e-01,2.970490261140695143e+00,-3.551860935693409993e-02,-1.621489171172052768e-01,-1.957801251650531649e+00,-9.935522553199681584e-01,2.327559232550968638e-01,3.552168364340809598e-02,9.701095375072597005e-01,-9.874523524284425369e-01,-1.648935729899170533e-01,6.887200335559667819e-02,-1.281666666666666821e+01
